SSE,SZSE,INTERBANK_BM,HKEX,NASDAQ,NYSE
2012/1/6,2012/1/6,2009-01-09,2012/1/6,2012/1/6,2012/1/6
2012/1/13,2012/1/13,2009-01-16,2012/1/13,2012/1/13,2012/1/13
2012/1/20,2012/1/20,2009-01-23,2012/1/20,2012/1/20,2012/1/20
2012/2/3,2012/2/3,2009-02-06,2012/1/27,2012/1/27,2012/1/27
2012/2/10,2012/2/10,2009-02-13,2012/2/3,2012/2/3,2012/2/3
2012/2/17,2012/2/17,2009-02-20,2012/2/10,2012/2/10,2012/2/10
2012/2/24,2012/2/24,2009-02-27,2012/2/17,2012/2/17,2012/2/17
2012/3/2,2012/3/2,2009-03-06,2012/2/24,2012/2/24,2012/2/24
2012/3/9,2012/3/9,2009-03-13,2012/3/2,2012/3/2,2012/3/2
2012/3/16,2012/3/16,2009-03-20,2012/3/9,2012/3/9,2012/3/9
2012/3/23,2012/3/23,2009-03-27,2012/3/16,2012/3/16,2012/3/16
2012/3/30,2012/3/30,2009-04-03,2012/3/23,2012/3/23,2012/3/23
2012/4/6,2012/4/6,2009-04-10,2012/3/30,2012/3/30,2012/3/30
2012/4/13,2012/4/13,2009-04-17,2012/4/5,2012/4/5,2012/4/5
2012/4/20,2012/4/20,2009-04-24,2012/4/13,2012/4/13,2012/4/13
2012/4/27,2012/4/27,2009-04-30,2012/4/20,2012/4/20,2012/4/20
2012/5/4,2012/5/4,2009-05-08,2012/4/27,2012/4/27,2012/4/27
2012/5/11,2012/5/11,2009-05-15,2012/5/4,2012/5/4,2012/5/4
2012/5/18,2012/5/18,2009-05-22,2012/5/11,2012/5/11,2012/5/11
2012/5/25,2012/5/25,2009-05-27,2012/5/18,2012/5/18,2012/5/18
2012/6/1,2012/6/1,2009-06-05,2012/5/25,2012/5/25,2012/5/25
2012/6/8,2012/6/8,2009-06-12,2012/6/1,2012/6/1,2012/6/1
2012/6/15,2012/6/15,2009-06-19,2012/6/8,2012/6/8,2012/6/8
2012/6/21,2012/6/21,2009-06-26,2012/6/15,2012/6/15,2012/6/15
2012/6/29,2012/6/29,2009-07-03,2012/6/22,2012/6/22,2012/6/22
2012/7/6,2012/7/6,2009-07-10,2012/6/29,2012/6/29,2012/6/29
2012/7/13,2012/7/13,2009-07-17,2012/7/6,2012/7/6,2012/7/6
2012/7/20,2012/7/20,2009-07-24,2012/7/13,2012/7/13,2012/7/13
2012/7/27,2012/7/27,2009-07-31,2012/7/20,2012/7/20,2012/7/20
2012/8/3,2012/8/3,2009-08-07,2012/7/27,2012/7/27,2012/7/27
2012/8/10,2012/8/10,2009-08-14,2012/8/3,2012/8/3,2012/8/3
2012/8/17,2012/8/17,2009-08-21,2012/8/10,2012/8/10,2012/8/10
2012/8/24,2012/8/24,2009-08-28,2012/8/17,2012/8/17,2012/8/17
2012/8/31,2012/8/31,2009-09-04,2012/8/24,2012/8/24,2012/8/24
2012/9/7,2012/9/7,2009-09-11,2012/8/31,2012/8/31,2012/8/31
2012/9/14,2012/9/14,2009-09-18,2012/9/7,2012/9/7,2012/9/7
2012/9/21,2012/9/21,2009-09-25,2012/9/14,2012/9/14,2012/9/14
2012/9/28,2012/9/28,2009-09-30,2012/9/21,2012/9/21,2012/9/21
2012/10/12,2012/10/12,2009-10-09,2012/9/28,2012/9/28,2012/9/28
2012/10/19,2012/10/19,2009-10-16,2012/10/5,2012/10/5,2012/10/5
2012/10/26,2012/10/26,2009-10-23,2012/10/12,2012/10/12,2012/10/12
2012/11/2,2012/11/2,2009-10-30,2012/10/19,2012/10/19,2012/10/19
2012/11/9,2012/11/9,2009-11-06,2012/10/26,2012/10/26,2012/10/26
2012/11/16,2012/11/16,2009-11-13,2012/11/2,2012/11/2,2012/11/2
2012/11/23,2012/11/23,2009-11-20,2012/11/9,2012/11/9,2012/11/9
2012/11/30,2012/11/30,2009-11-27,2012/11/16,2012/11/16,2012/11/16
2012/12/7,2012/12/7,2009-12-04,2012/11/23,2012/11/23,2012/11/23
2012/12/14,2012/12/14,2009-12-11,2012/11/30,2012/11/30,2012/11/30
2012/12/21,2012/12/21,2009-12-18,2012/12/7,2012/12/7,2012/12/7
2012/12/28,2012/12/28,2009-12-25,2012/12/14,2012/12/14,2012/12/14
2013/1/4,2013/1/4,2009-12-31,2012/12/21,2012/12/21,2012/12/21
2013/1/11,2013/1/11,2010-01-08,2012/12/28,2012/12/28,2012/12/28
2013/1/18,2013/1/18,2010-01-15,2013/1/4,2013/1/4,2013/1/4
2013/1/25,2013/1/25,2010-01-22,2013/1/11,2013/1/11,2013/1/11
2013/2/1,2013/2/1,2010-01-29,2013/1/18,2013/1/18,2013/1/18
2013/2/8,2013/2/8,2010-02-05,2013/1/25,2013/1/25,2013/1/25
2013/2/22,2013/2/22,2010-02-12,2013/2/1,2013/2/1,2013/2/1
2013/3/1,2013/3/1,2010-02-26,2013/2/8,2013/2/8,2013/2/8
2013/3/8,2013/3/8,2010-03-05,2013/2/15,2013/2/15,2013/2/15
2013/3/15,2013/3/15,2010-03-12,2013/2/22,2013/2/22,2013/2/22
2013/3/22,2013/3/22,2010-03-19,2013/3/1,2013/3/1,2013/3/1
2013/3/29,2013/3/29,2010-03-26,2013/3/8,2013/3/8,2013/3/8
2013/4/3,2013/4/3,2010-04-02,2013/3/15,2013/3/15,2013/3/15
2013/4/12,2013/4/12,2010-04-09,2013/3/22,2013/3/22,2013/3/22
2013/4/19,2013/4/19,2010-04-16,2013/3/28,2013/3/28,2013/3/28
2013/4/26,2013/4/26,2010-04-23,2013/4/5,2013/4/5,2013/4/5
2013/5/3,2013/5/3,2010-04-30,2013/4/12,2013/4/12,2013/4/12
2013/5/10,2013/5/10,2010-05-07,2013/4/19,2013/4/19,2013/4/19
2013/5/17,2013/5/17,2010-05-14,2013/4/26,2013/4/26,2013/4/26
2013/5/24,2013/5/24,2010-05-21,2013/5/3,2013/5/3,2013/5/3
2013/5/31,2013/5/31,2010-05-28,2013/5/10,2013/5/10,2013/5/10
2013/6/7,2013/6/7,2010-06-04,2013/5/16,2013/5/17,2013/5/17
2013/6/14,2013/6/14,2010-06-11,2013/5/24,2013/5/24,2013/5/24
2013/6/21,2013/6/21,2010-06-18,2013/5/31,2013/5/31,2013/5/31
2013/6/28,2013/6/28,2010-06-25,2013/6/7,2013/6/7,2013/6/7
2013/7/5,2013/7/5,2010-07-02,2013/6/14,2013/6/14,2013/6/14
2013/7/12,2013/7/12,2010-07-09,2013/6/21,2013/6/21,2013/6/21
2013/7/19,2013/7/19,2010-07-16,2013/6/28,2013/6/28,2013/6/28
2013/7/26,2013/7/26,2010-07-23,2013/7/5,2013/7/5,2013/7/5
2013/8/2,2013/8/2,2010-07-30,2013/7/12,2013/7/12,2013/7/12
2013/8/9,2013/8/9,2010-08-06,2013/7/19,2013/7/19,2013/7/19
2013/8/16,2013/8/16,2010-08-13,2013/7/26,2013/7/26,2013/7/26
2013/8/23,2013/8/23,2010-08-20,2013/8/2,2013/8/2,2013/8/2
2013/8/30,2013/8/30,2010-08-27,2013/8/9,2013/8/9,2013/8/9
2013/9/6,2013/9/6,2010-09-03,2013/8/16,2013/8/16,2013/8/16
2013/9/13,2013/9/13,2010-09-10,2013/8/23,2013/8/23,2013/8/23
2013/9/18,2013/9/18,2010-09-17,2013/8/30,2013/8/30,2013/8/30
2013/9/27,2013/9/27,2010-09-21,2013/9/6,2013/9/6,2013/9/6
2013/9/30,2013/9/30,2010-09-30,2013/9/13,2013/9/13,2013/9/13
2013/10/11,2013/10/11,2010-10-08,2013/9/19,2013/9/20,2013/9/20
2013/10/18,2013/10/18,2010-10-15,2013/9/27,2013/9/27,2013/9/27
2013/10/25,2013/10/25,2010-10-22,2013/10/4,2013/10/4,2013/10/4
2013/11/1,2013/11/1,2010-10-29,2013/10/11,2013/10/11,2013/10/11
2013/11/8,2013/11/8,2010-11-05,2013/10/18,2013/10/18,2013/10/18
2013/11/15,2013/11/15,2010-11-12,2013/10/25,2013/10/25,2013/10/25
2013/11/22,2013/11/22,2010-11-19,2013/11/1,2013/11/1,2013/11/1
2013/11/29,2013/11/29,2010-11-26,2013/11/8,2013/11/8,2013/11/8
2013/12/6,2013/12/6,2010-12-03,2013/11/15,2013/11/15,2013/11/15
2013/12/13,2013/12/13,2010-12-10,2013/11/22,2013/11/22,2013/11/22
2013/12/20,2013/12/20,2010-12-17,2013/11/29,2013/11/29,2013/11/29
2013/12/27,2013/12/27,2010-12-24,2013/12/6,2013/12/6,2013/12/6
2014/1/3,2014/1/3,2010-12-31,2013/12/13,2013/12/13,2013/12/13
2014/1/10,2014/1/10,2011-01-07,2013/12/20,2013/12/20,2013/12/20
2014/1/17,2014/1/17,2011-01-14,2013/12/27,2013/12/27,2013/12/27
2014/1/24,2014/1/24,2011-01-21,2014/1/3,2014/1/3,2014/1/3
2014/1/30,2014/1/30,2011-01-28,2014/1/10,2014/1/10,2014/1/10
2014/2/7,2014/2/7,2011-02-01,2014/1/17,2014/1/17,2014/1/17
2014/2/14,2014/2/14,2011-02-11,2014/1/24,2014/1/24,2014/1/24
2014/2/21,2014/2/21,2011-02-18,2014/1/30,2014/1/31,2014/1/31
2014/2/28,2014/2/28,2011-02-25,2014/2/7,2014/2/7,2014/2/7
2014/3/7,2014/3/7,2011-03-04,2014/2/14,2014/2/14,2014/2/14
2014/3/14,2014/3/14,2011-03-11,2014/2/21,2014/2/21,2014/2/21
2014/3/21,2014/3/21,2011-03-18,2014/2/28,2014/2/28,2014/2/28
2014/3/28,2014/3/28,2011-03-25,2014/3/7,2014/3/7,2014/3/7
2014/4/4,2014/4/4,2011-04-01,2014/3/14,2014/3/14,2014/3/14
2014/4/11,2014/4/11,2011-04-08,2014/3/21,2014/3/21,2014/3/21
2014/4/18,2014/4/18,2011-04-15,2014/3/28,2014/3/28,2014/3/28
2014/4/25,2014/4/25,2011-04-22,2014/4/4,2014/4/4,2014/4/4
2014/4/30,2014/4/30,2011-04-29,2014/4/11,2014/4/11,2014/4/11
2014/5/9,2014/5/9,2011-05-06,2014/4/17,2014/4/17,2014/4/17
2014/5/16,2014/5/16,2011-05-13,2014/4/25,2014/4/25,2014/4/25
2014/5/23,2014/5/23,2011-05-20,2014/5/2,2014/5/2,2014/5/2
2014/5/30,2014/5/30,2011-05-27,2014/5/9,2014/5/9,2014/5/9
2014/6/6,2014/6/6,2011-06-03,2014/5/16,2014/5/16,2014/5/16
2014/6/13,2014/6/13,2011-06-10,2014/5/23,2014/5/23,2014/5/23
2014/6/20,2014/6/20,2011-06-17,2014/5/30,2014/5/30,2014/5/30
2014/6/27,2014/6/27,2011-06-24,2014/6/6,2014/6/6,2014/6/6
2014/7/4,2014/7/4,2011-07-01,2014/6/13,2014/6/13,2014/6/13
2014/7/11,2014/7/11,2011-07-08,2014/6/20,2014/6/20,2014/6/20
2014/7/18,2014/7/18,2011-07-15,2014/6/27,2014/6/27,2014/6/27
2014/7/25,2014/7/25,2011-07-22,2014/7/4,2014/7/3,2014/7/3
2014/8/1,2014/8/1,2011-07-29,2014/7/11,2014/7/11,2014/7/11
2014/8/8,2014/8/8,2011-08-05,2014/7/18,2014/7/18,2014/7/18
2014/8/15,2014/8/15,2011-08-12,2014/7/25,2014/7/25,2014/7/25
2014/8/22,2014/8/22,2011-08-19,2014/8/1,2014/8/1,2014/8/1
2014/8/29,2014/8/29,2011-08-26,2014/8/8,2014/8/8,2014/8/8
2014/9/5,2014/9/5,2011-09-02,2014/8/15,2014/8/15,2014/8/15
2014/9/12,2014/9/12,2011-09-09,2014/8/22,2014/8/22,2014/8/22
2014/9/19,2014/9/19,2011-09-16,2014/8/29,2014/8/29,2014/8/29
2014/9/26,2014/9/26,2011-09-23,2014/9/5,2014/9/5,2014/9/5
2014/9/30,2014/9/30,2011-09-30,2014/9/12,2014/9/12,2014/9/12
2014/10/10,2014/10/10,2011-10-14,2014/9/19,2014/9/19,2014/9/19
2014/10/17,2014/10/17,2011-10-21,2014/9/26,2014/9/26,2014/9/26
2014/10/24,2014/10/24,2011-10-28,2014/10/3,2014/10/3,2014/10/3
2014/10/31,2014/10/31,2011-11-04,2014/10/10,2014/10/10,2014/10/10
2014/11/7,2014/11/7,2011-11-11,2014/10/17,2014/10/17,2014/10/17
2014/11/14,2014/11/14,2011-11-18,2014/10/24,2014/10/24,2014/10/24
2014/11/21,2014/11/21,2011-11-25,2014/10/31,2014/10/31,2014/10/31
2014/11/28,2014/11/28,2011-12-02,2014/11/7,2014/11/7,2014/11/7
2014/12/5,2014/12/5,2011-12-09,2014/11/14,2014/11/14,2014/11/14
2014/12/12,2014/12/12,2011-12-16,2014/11/21,2014/11/21,2014/11/21
2014/12/19,2014/12/19,2011-12-23,2014/11/28,2014/11/28,2014/11/28
2014/12/26,2014/12/26,2011-12-30,2014/12/5,2014/12/5,2014/12/5
2014/12/31,2014/12/31,2012-01-06,2014/12/12,2014/12/12,2014/12/12
2015/1/9,2015/1/9,2012-01-13,2014/12/19,2014/12/19,2014/12/19
2015/1/16,2015/1/16,2012-01-20,2014/12/24,2014/12/26,2014/12/26
2015/1/23,2015/1/23,2012-02-03,2015/1/2,2015/1/2,2015/1/2
2015/1/30,2015/1/30,2012-02-10,2015/1/9,2015/1/9,2015/1/9
2015/2/6,2015/2/6,2012-02-17,2015/1/16,2015/1/16,2015/1/16
2015/2/13,2015/2/13,2012-02-24,2015/1/23,2015/1/23,2015/1/23
2015/2/17,2015/2/17,2012-03-02,2015/1/30,2015/1/30,2015/1/30
2015/2/27,2015/2/27,2012-03-09,2015/2/6,2015/2/6,2015/2/6
2015/3/6,2015/3/6,2012-03-16,2015/2/13,2015/2/13,2015/2/13
2015/3/13,2015/3/13,2012-03-23,2015/2/18,2015/2/20,2015/2/20
2015/3/20,2015/3/20,2012-03-30,2015/2/27,2015/2/27,2015/2/27
2015/3/27,2015/3/27,2012-04-06,2015/3/6,2015/3/6,2015/3/6
2015/4/3,2015/4/3,2012-04-13,2015/3/13,2015/3/13,2015/3/13
2015/4/10,2015/4/10,2012-04-20,2015/3/20,2015/3/20,2015/3/20
2015/4/17,2015/4/17,2012-04-27,2015/3/27,2015/3/27,2015/3/27
2015/4/24,2015/4/24,2012-05-04,2015/4/2,2015/4/2,2015/4/2
2015/4/30,2015/4/30,2012-05-11,2015/4/10,2015/4/10,2015/4/10
2015/5/8,2015/5/8,2012-05-18,2015/4/17,2015/4/17,2015/4/17
2015/5/15,2015/5/15,2012-05-25,2015/4/24,2015/4/24,2015/4/24
2015/5/22,2015/5/22,2012-06-01,2015/4/30,2015/5/1,2015/5/1
2015/5/29,2015/5/29,2012-06-08,2015/5/8,2015/5/8,2015/5/8
2015/6/5,2015/6/5,2012-06-15,2015/5/15,2015/5/15,2015/5/15
2015/6/12,2015/6/12,2012-06-21,2015/5/22,2015/5/22,2015/5/22
2015/6/19,2015/6/19,2012-06-29,2015/5/29,2015/5/29,2015/5/29
2015/6/26,2015/6/26,2012-07-06,2015/6/5,2015/6/5,2015/6/5
2015/7/3,2015/7/3,2012-07-13,2015/6/12,2015/6/12,2015/6/12
2015/7/10,2015/7/10,2012-07-20,2015/6/19,2015/6/19,2015/6/19
2015/7/17,2015/7/17,2012-07-27,2015/6/26,2015/6/26,2015/6/26
2015/7/24,2015/7/24,2012-08-03,2015/7/3,2015/7/2,2015/7/2
2015/7/31,2015/7/31,2012-08-10,2015/7/10,2015/7/10,2015/7/10
