SSE,SZSE,INTERBANK_BM,HKEX,NASDAQ,NYSE
2015/8/7,2015/8/7,2012-08-17,2015/7/17,2015/7/17,2015/7/17
2015/8/14,2015/8/14,2012-08-24,2015/7/24,2015/7/24,2015/7/24
2015/8/21,2015/8/21,2012-08-31,2015/7/31,2015/7/31,2015/7/31
2015/8/28,2015/8/28,2012-09-07,2015/8/7,2015/8/7,2015/8/7
2015/9/2,2015/9/2,2012-09-14,2015/8/14,2015/8/14,2015/8/14
2015/9/11,2015/9/11,2012-09-21,2015/8/21,2015/8/21,2015/8/21
2015/9/18,2015/9/18,2012-09-28,2015/8/28,2015/8/28,2015/8/28
2015/9/25,2015/9/25,2012-10-12,2015/9/4,2015/9/4,2015/9/4
2015/9/30,2015/9/30,2012-10-19,2015/9/11,2015/9/11,2015/9/11
2015/10/9,2015/10/9,2012-10-26,2015/9/18,2015/9/18,2015/9/18
2015/10/16,2015/10/16,2012-11-02,2015/9/25,2015/9/25,2015/9/25
2015/10/23,2015/10/23,2012-11-09,2015/10/2,2015/10/2,2015/10/2
2015/10/30,2015/10/30,2012-11-16,2015/10/9,2015/10/9,2015/10/9
2015/11/6,2015/11/6,2012-11-23,2015/10/16,2015/10/16,2015/10/16
2015/11/13,2015/11/13,2012-11-30,2015/10/23,2015/10/23,2015/10/23
2015/11/20,2015/11/20,2012-12-07,2015/10/30,2015/10/30,2015/10/30
2015/11/27,2015/11/27,2012-12-14,2015/11/6,2015/11/6,2015/11/6
2015/12/4,2015/12/4,2012-12-21,2015/11/13,2015/11/13,2015/11/13
2015/12/11,2015/12/11,2012-12-28,2015/11/20,2015/11/20,2015/11/20
2015/12/18,2015/12/18,2013-01-04,2015/11/27,2015/11/27,2015/11/27
2015/12/25,2015/12/25,2013-01-11,2015/12/4,2015/12/4,2015/12/4
2015/12/31,2015/12/31,2013-01-18,2015/12/11,2015/12/11,2015/12/11
2016/1/8,2016/1/8,2013-01-25,2015/12/18,2015/12/18,2015/12/18
2016/1/15,2016/1/15,2013-02-01,2015/12/24,2015/12/24,2015/12/24
2016/1/22,2016/1/22,2013-02-08,2015/12/31,2015/12/31,2015/12/31
2016/1/29,2016/1/29,2013-02-22,2016/1/8,2016/1/8,2016/1/8
2016/2/5,2016/2/5,2013-03-01,2016/1/15,2016/1/15,2016/1/15
2016/2/19,2016/2/19,2013-03-08,2016/1/22,2016/1/22,2016/1/22
2016/2/26,2016/2/26,2013-03-15,2016/1/29,2016/1/29,2016/1/29
2016/3/4,2016/3/4,2013-03-22,2016/2/5,2016/2/5,2016/2/5
2016/3/11,2016/3/11,2013-03-29,2016/2/12,2016/2/12,2016/2/12
2016/3/18,2016/3/18,2013-04-03,2016/2/19,2016/2/19,2016/2/19
2016/3/25,2016/3/25,2013-04-12,2016/2/26,2016/2/26,2016/2/26
2016/4/1,2016/4/1,2013-04-19,2016/3/4,2016/3/4,2016/3/4
2016/4/8,2016/4/8,2013-04-26,2016/3/11,2016/3/11,2016/3/11
2016/4/15,2016/4/15,2013-05-03,2016/3/18,2016/3/18,2016/3/18
2016/4/22,2016/4/22,2013-05-10,2016/3/24,2016/3/24,2016/3/24
2016/4/29,2016/4/29,2013-05-17,2016/4/1,2016/4/1,2016/4/1
2016/5/6,2016/5/6,2013-05-24,2016/4/8,2016/4/8,2016/4/8
2016/5/13,2016/5/13,2013-05-31,2016/4/15,2016/4/15,2016/4/15
2016/5/20,2016/5/20,2013-06-07,2016/4/22,2016/4/22,2016/4/22
2016/5/27,2016/5/27,2013-06-14,2016/4/29,2016/4/29,2016/4/29
2016/6/3,2016/6/3,2013-06-21,2016/5/6,2016/5/6,2016/5/6
2016/6/8,2016/6/8,2013-06-28,2016/5/13,2016/5/13,2016/5/13
2016/6/17,2016/6/17,2013-07-05,2016/5/20,2016/5/20,2016/5/20
2016/6/24,2016/6/24,2013-07-12,2016/5/27,2016/5/27,2016/5/27
2016/7/1,2016/7/1,2013-07-19,2016/6/3,2016/6/3,2016/6/3
2016/7/8,2016/7/8,2013-07-26,2016/6/10,2016/6/10,2016/6/10
2016/7/15,2016/7/15,2013-08-02,2016/6/17,2016/6/17,2016/6/17
2016/7/22,2016/7/22,2013-08-09,2016/6/24,2016/6/24,2016/6/24
2016/7/29,2016/7/29,2013-08-16,2016/6/30,2016/7/1,2016/7/1
2016/8/5,2016/8/5,2013-08-23,2016/7/8,2016/7/8,2016/7/8
2016/8/12,2016/8/12,2013-08-30,2016/7/15,2016/7/15,2016/7/15
2016/8/19,2016/8/19,2013-09-06,2016/7/22,2016/7/22,2016/7/22
2016/8/26,2016/8/26,2013-09-13,2016/7/29,2016/7/29,2016/7/29
2016/9/2,2016/9/2,2013-09-18,2016/8/5,2016/8/5,2016/8/5
2016/9/9,2016/9/9,2013-09-27,2016/8/12,2016/8/12,2016/8/12
2016/9/14,2016/9/14,2013-09-30,2016/8/19,2016/8/19,2016/8/19
2016/9/23,2016/9/23,2013-10-11,2016/8/26,2016/8/26,2016/8/26
2016/9/30,2016/9/30,2013-10-18,2016/9/2,2016/9/2,2016/9/2
2016/10/14,2016/10/14,2013-10-25,2016/9/9,2016/9/9,2016/9/9
2016/10/21,2016/10/21,2013-11-01,2016/9/15,2016/9/16,2016/9/16
2016/10/28,2016/10/28,2013-11-08,2016/9/23,2016/9/23,2016/9/23
2016/11/4,2016/11/4,2013-11-15,2016/9/30,2016/9/30,2016/9/30
2016/11/11,2016/11/11,2013-11-22,2016/10/7,2016/10/7,2016/10/7
2016/11/18,2016/11/18,2013-11-29,2016/10/14,2016/10/14,2016/10/14
2016/11/25,2016/11/25,2013-12-06,2016/10/20,2016/10/21,2016/10/21
2016/12/2,2016/12/2,2013-12-13,2016/10/28,2016/10/28,2016/10/28
2016/12/9,2016/12/9,2013-12-20,2016/11/4,2016/11/4,2016/11/4
2016/12/16,2016/12/16,2013-12-27,2016/11/11,2016/11/11,2016/11/11
2016/12/23,2016/12/23,2014-01-03,2016/11/18,2016/11/18,2016/11/18
2016/12/30,2016/12/30,2014-01-10,2016/11/25,2016/11/25,2016/11/25
2017/1/6,2017/1/6,2014-01-17,2016/12/2,2016/12/2,2016/12/2
2017/1/13,2017/1/13,2014-01-24,2016/12/9,2016/12/9,2016/12/9
2017/1/20,2017/1/20,2014-01-30,2016/12/16,2016/12/16,2016/12/16
2017/1/26,2017/1/26,2014-02-07,2016/12/23,2016/12/23,2016/12/23
2017/2/3,2017/2/3,2014-02-14,2016/12/30,2016/12/30,2016/12/30
2017/2/10,2017/2/10,2014-02-21,2017/1/6,2017/1/6,2017/1/6
2017/2/17,2017/2/17,2014-02-28,2017/1/13,2017/1/13,2017/1/13
2017/2/24,2017/2/24,2014-03-07,2017/1/20,2017/1/20,2017/1/20
2017/3/3,2017/3/3,2014-03-14,2017/1/27,2017/1/27,2017/1/27
2017/3/10,2017/3/10,2014-03-21,2017/2/3,2017/2/3,2017/2/3
2017/3/17,2017/3/17,2014-03-28,2017/2/10,2017/2/10,2017/2/10
2017/3/24,2017/3/24,2014-04-04,2017/2/17,2017/2/17,2017/2/17
2017/3/31,2017/3/31,2014-04-11,2017/2/24,2017/2/24,2017/2/24
2017/4/7,2017/4/7,2014-04-18,2017/3/3,2017/3/3,2017/3/3
2017/4/14,2017/4/14,2014-04-25,2017/3/10,2017/3/10,2017/3/10
2017/4/21,2017/4/21,2014-04-30,2017/3/17,2017/3/17,2017/3/17
2017/4/28,2017/4/28,2014-05-09,2017/3/24,2017/3/24,2017/3/24
2017/5/5,2017/5/5,2014-05-16,2017/3/31,2017/3/31,2017/3/31
2017/5/12,2017/5/12,2014-05-23,2017/4/7,2017/4/7,2017/4/7
2017/5/19,2017/5/19,2014-05-30,2017/4/13,2017/4/13,2017/4/13
2017/5/26,2017/5/26,2014-06-06,2017/4/21,2017/4/21,2017/4/21
2017/6/2,2017/6/2,2014-06-13,2017/4/28,2017/4/28,2017/4/28
2017/6/9,2017/6/9,2014-06-20,2017/5/5,2017/5/5,2017/5/5
2017/6/16,2017/6/16,2014-06-27,2017/5/12,2017/5/12,2017/5/12
2017/6/23,2017/6/23,2014-07-04,2017/5/19,2017/5/19,2017/5/19
2017/6/30,2017/6/30,2014-07-11,2017/5/26,2017/5/26,2017/5/26
2017/7/7,2017/7/7,2014-07-18,2017/6/2,2017/6/2,2017/6/2
2017/7/14,2017/7/14,2014-07-25,2017/6/9,2017/6/9,2017/6/9
2017/7/21,2017/7/21,2014-08-01,2017/6/16,2017/6/16,2017/6/16
2017/7/28,2017/7/28,2014-08-08,2017/6/23,2017/6/23,2017/6/23
2017/8/4,2017/8/4,2014-08-15,2017/6/30,2017/6/30,2017/6/30
2017/8/11,2017/8/11,2014-08-22,2017/7/7,2017/7/7,2017/7/7
2017/8/18,2017/8/18,2014-08-29,2017/7/14,2017/7/14,2017/7/14
2017/8/25,2017/8/25,2014-09-05,2017/7/21,2017/7/21,2017/7/21
2017/9/1,2017/9/1,2014-09-12,2017/7/28,2017/7/28,2017/7/28
2017/9/8,2017/9/8,2014-09-19,2017/8/4,2017/8/4,2017/8/4
2017/9/15,2017/9/15,2014-09-26,2017/8/11,2017/8/11,2017/8/11
2017/9/22,2017/9/22,2014-09-30,2017/8/18,2017/8/18,2017/8/18
2017/9/29,2017/9/29,2014-10-10,2017/8/25,2017/8/25,2017/8/25
2017/10/13,2017/10/13,2014-10-17,2017/9/1,2017/9/1,2017/9/1
2017/10/20,2017/10/20,2014-10-24,2017/9/8,2017/9/8,2017/9/8
2017/10/27,2017/10/27,2014-10-31,2017/9/15,2017/9/15,2017/9/15
2017/11/3,2017/11/3,2014-11-07,2017/9/22,2017/9/22,2017/9/22
2017/11/10,2017/11/10,2014-11-14,2017/9/29,2017/9/29,2017/9/29
2017/11/17,2017/11/17,2014-11-21,2017/10/6,2017/10/6,2017/10/6
2017/11/24,2017/11/24,2014-11-28,2017/10/13,2017/10/13,2017/10/13
2017/12/1,2017/12/1,2014-12-05,2017/10/20,2017/10/20,2017/10/20
2017/12/8,2017/12/8,2014-12-12,2017/10/27,2017/10/27,2017/10/27
2017/12/15,2017/12/15,2014-12-19,2017/11/3,2017/11/3,2017/11/3
2017/12/22,2017/12/22,2014-12-26,2017/11/10,2017/11/10,2017/11/10
2017/12/29,2017/12/29,2014-12-31,2017/11/17,2017/11/17,2017/11/17
2018/1/5,2018/1/5,2015-01-09,2017/11/24,2017/11/24,2017/11/24
2018/1/12,2018/1/12,2015-01-16,2017/12/1,2017/12/1,2017/12/1
2018/1/19,2018/1/19,2015-01-23,2017/12/8,2017/12/8,2017/12/8
2018/1/26,2018/1/26,2015-01-30,2017/12/15,2017/12/15,2017/12/15
2018/2/2,2018/2/2,2015-02-06,2017/12/22,2017/12/22,2017/12/22
2018/2/9,2018/2/9,2015-02-13,2017/12/29,2017/12/29,2017/12/29
2018/2/14,2018/2/14,2015-02-17,2018/1/5,2018/1/5,2018/1/5
2018/2/23,2018/2/23,2015-02-27,2018/1/12,2018/1/12,2018/1/12
2018/3/2,2018/3/2,2015-03-06,2018/1/19,2018/1/19,2018/1/19
2018/3/9,2018/3/9,2015-03-13,2018/1/26,2018/1/26,2018/1/26
2018/3/16,2018/3/16,2015-03-20,2018/2/2,2018/2/2,2018/2/2
2018/3/23,2018/3/23,2015-03-27,2018/2/9,2018/2/9,2018/2/9
2018/3/30,2018/3/30,2015-04-03,2018/2/15,2018/2/16,2018/2/16
2018/4/4,2018/4/4,2015-04-10,2018/2/23,2018/2/23,2018/2/23
2018/4/13,2018/4/13,2015-04-17,2018/3/2,2018/3/2,2018/3/2
2018/4/20,2018/4/20,2015-04-24,2018/3/9,2018/3/9,2018/3/9
2018/4/27,2018/4/27,2015-04-30,2018/3/16,2018/3/16,2018/3/16
2018/5/4,2018/5/4,2015-05-08,2018/3/23,2018/3/23,2018/3/23
2018/5/11,2018/5/11,2015-05-15,2018/3/29,2018/3/29,2018/3/29
2018/5/18,2018/5/18,2015-05-22,2018/4/6,2018/4/6,2018/4/6
2018/5/25,2018/5/25,2015-05-29,2018/4/13,2018/4/13,2018/4/13
2018/6/1,2018/6/1,2015-06-05,2018/4/20,2018/4/20,2018/4/20
2018/6/8,2018/6/8,2015-06-12,2018/4/27,2018/4/27,2018/4/27
2018/6/15,2018/6/15,2015-06-19,2018/5/4,2018/5/4,2018/5/4
