class1,class2,name,total_value,yrs_0_1,yrs_1_3,yrs_3_5,yrs_5_7,yrs_7_10,yrs_10_more,name_short
分类指数,信用等级 ,中债-高信用等级中期票据净价指数,CBA03402.CS,CBA03412.CS,CBA03422.CS,CBA03432.CS,CBA03442.CS,CBA03452.CS,CBA03462.CS,高信用等级中期票据净价
分类指数,信用等级 ,中债-高信用等级中期票据全价指数,CBA03403.CS,CBA03413.CS,CBA03423.CS,CBA03433.CS,CBA03443.CS,CBA03453.CS,CBA03463.CS,高信用等级中期票据全价
分类指数,信用等级 ,中债-高收益中期票据财富指数,CBA03701.CS,CBA03711.CS,CBA03721.CS,CBA03731.CS,CBA03741.CS,CBA03751.CS,CBA03761.CS,高收益中期票据财富
分类指数,信用等级 ,中债-高收益中期票据净价指数,CBA03702.CS,CBA03712.CS,CBA03722.CS,CBA03732.CS,CBA03742.CS,CBA03752.CS,CBA03762.CS,高收益中期票据净价
分类指数,信用等级 ,中债-高收益中期票据全价指数,CBA03703.CS,CBA03713.CS,CBA03723.CS,CBA03733.CS,CBA03743.CS,CBA03753.CS,CBA03763.CS,高收益中期票据全价
分类指数,信用等级 ,中债-高信用等级企业债财富指数,CBA03501.CS,CBA03511.CS,CBA03521.CS,CBA03531.CS,CBA03541.CS,CBA03551.CS,CBA03561.CS,高信用等级企业债财富
分类指数,信用等级 ,中债-高信用等级企业债净价指数,CBA03502.CS,CBA03512.CS,CBA03522.CS,CBA03532.CS,CBA03542.CS,CBA03552.CS,CBA03562.CS,高信用等级企业债净价
分类指数,信用等级 ,中债-高信用等级企业债全价指数,CBA03503.CS,CBA03513.CS,CBA03523.CS,CBA03533.CS,CBA03543.CS,CBA03553.CS,CBA03563.CS,高信用等级企业债全价
分类指数,信用等级 ,中债-高收益企业债财富指数,CBA03801.CS,CBA03811.CS,CBA03821.CS,CBA03831.CS,CBA03841.CS,CBA03851.CS,CBA03861.CS,高收益企业债财富
分类指数,信用等级 ,中债-高收益企业债净价指数,CBA03802.CS,CBA03812.CS,CBA03822.CS,CBA03832.CS,CBA03842.CS,CBA03852.CS,CBA03862.CS,高收益企业债净价
分类指数,信用等级 ,中债-高收益企业债全价指数,CBA03803.CS,CBA03813.CS,CBA03823.CS,CBA03833.CS,CBA03843.CS,CBA03853.CS,CBA03863.CS,高收益企业债全价
分类指数,信用等级 ,中债-短融AA财富指数,CBA02301.CS,CBA02311.CS,,,,,,短融AA财富
分类指数,信用等级 ,中债-短融AA净价指数,CBA02302.CS,CBA02312.CS,,,,,,短融AA净价
分类指数,信用等级 ,中债-短融AA全价指数,CBA02303.CS,CBA02313.CS,,,,,,短融AA全价
分类指数,信用等级 ,中债-企业债AA-财富指数,CBA03901.CS,CBA03911.CS,CBA03921.CS,CBA03931.CS,CBA03941.CS,CBA03951.CS,CBA03961.CS,企业债AA财富
分类指数,信用等级 ,中债-企业债AA-净价指数,CBA03902.CS,CBA03912.CS,CBA03922.CS,CBA03932.CS,CBA03942.CS,CBA03952.CS,CBA03962.CS,企业债AA净价
分类指数,信用等级 ,中债-企业债AA-全价指数,CBA03903.CS,CBA03913.CS,CBA03923.CS,CBA03933.CS,CBA03943.CS,CBA03953.CS,CBA03963.CS,企业债AA全价
分类指数,信用等级 ,中债-企业债AA财富指数,CBA04001.CS,CBA04011.CS,CBA04021.CS,CBA04031.CS,CBA04041.CS,CBA04051.CS,CBA04061.CS,企业债AA财富
分类指数,信用等级 ,中债-企业债AA净价指数,CBA04002.CS,CBA04012.CS,CBA04022.CS,CBA04032.CS,CBA04042.CS,CBA04052.CS,CBA04062.CS,企业债AA净价
分类指数,信用等级 ,中债-企业债AA全价指数,CBA04003.CS,CBA04013.CS,CBA04023.CS,CBA04033.CS,CBA04043.CS,CBA04053.CS,CBA04063.CS,企业债AA全价
分类指数,信用等级 ,中债-企业债AA+财富指数,CBA04101.CS,CBA04111.CS,CBA04121.CS,CBA04131.CS,CBA04141.CS,CBA04151.CS,CBA04161.CS,企业债AA+财富
分类指数,信用等级 ,中债-企业债AA+净价指数,CBA04102.CS,CBA04112.CS,CBA04122.CS,CBA04132.CS,CBA04142.CS,CBA04152.CS,CBA04162.CS,企业债AA+净价
分类指数,信用等级 ,中债-企业债AA+全价指数,CBA04103.CS,CBA04113.CS,CBA04123.CS,CBA04133.CS,CBA04143.CS,CBA04153.CS,CBA04163.CS,企业债AA+全价
分类指数,信用等级 ,中债-企业债AAA财富指数,CBA04201.CS,CBA04211.CS,CBA04221.CS,CBA04231.CS,CBA04241.CS,CBA04251.CS,CBA04261.CS,企业债AAA财富
分类指数,信用等级 ,中债-企业债AAA净价指数,CBA04202.CS,CBA04212.CS,CBA04222.CS,CBA04232.CS,CBA04242.CS,CBA04252.CS,CBA04262.CS,企业债AAA净价
分类指数,信用等级 ,中债-企业债AAA全价指数,CBA04203.CS,CBA04213.CS,CBA04223.CS,CBA04233.CS,CBA04243.CS,CBA04253.CS,CBA04263.CS,企业债AAA全价
分类指数,代偿期限,中债-1-30年利率债财富指数,CBA05901.CS,CBA05921.CS,CBA05931.CS,CBA05941.CS,CBA05951.CS,CBA05961.CS,CBA05961.CS,130年利率债财富
分类指数,代偿期限,中债-1-30年利率债净价指数,CBA05902.CS,CBA05922.CS,CBA05932.CS,CBA05942.CS,CBA05952.CS,CBA05962.CS,CBA05962.CS,130年利率债净价
