class1,class2,name,total_value,yrs_0_1,yrs_1_3,yrs_3_5,yrs_5_7,yrs_7_10,yrs_10_more,name_short
策略指数族 ,策略指数族 ,中债-关键期限国债财富指数,CBC00201.CS,,,,,,,关键期限国债财富
策略指数族 ,策略指数族 ,中债-关键期限国债净价指数,CBC00202.CS,,,,,,,关键期限国债净价
策略指数族 ,策略指数族 ,中债-关键期限国债全价指数,CBC00203.CS,,,,,,,关键期限国债全价
策略指数族 ,策略指数族 ,中债-中高等级公司债利差因子财富指数,CBC00701.CS,CBC00711.CS,CBC00721.CS,CBC00731.CS,CBC00741.CS,CBC00751.CS,CBC00761.CS,中高等级公司债利差因子财富
策略指数族 ,策略指数族 ,中债-中高等级公司债利差因子净价指数,CBC00702.CS,CBC00712.CS,CBC00722.CS,CBC00732.CS,CBC00742.CS,CBC00752.CS,CBC00762.CS,中高等级公司债利差因子净价
策略指数族 ,策略指数族 ,中债-中高等级公司债利差因子全价指数,CBC00703.CS,CBC00713.CS,CBC00723.CS,CBC00733.CS,CBC00743.CS,CBC00753.CS,CBC00763.CS,中高等级公司债利差因子全价
投资人分类指数族,投资人分类指数族,中债-保险机构投资财富指数,CBD00101.CS,CBD00111.CS,CBD00121.CS,CBD00131.CS,CBD00141.CS,CBD00151.CS,CBD00161.CS,保险机构投资财富
投资人分类指数族,投资人分类指数族,中债-保险机构投资净价指数,CBD00102.CS,CBD00112.CS,CBD00122.CS,CBD00132.CS,CBD00142.CS,CBD00152.CS,CBD00162.CS,保险机构投资净价
投资人分类指数族,投资人分类指数族,中债-保险机构投资全价指数,CBD00103.CS,CBD00113.CS,CBD00123.CS,CBD00133.CS,CBD00143.CS,CBD00153.CS,CBD00163.CS,保险机构投资全价
投资人分类指数族,投资人分类指数族,中债-商业银行投资财富指数,CBD00201.CS,CBD00211.CS,CBD00221.CS,CBD00231.CS,CBD00241.CS,CBD00251.CS,CBD00261.CS,商业银行投资财富
投资人分类指数族,投资人分类指数族,中债-商业银行投资净价指数,CBD00202.CS,CBD00212.CS,CBD00222.CS,CBD00232.CS,CBD00242.CS,CBD00252.CS,CBD00262.CS,商业银行投资净价
投资人分类指数族,投资人分类指数族,中债-商业银行投资全价指数,CBD00203.CS,CBD00213.CS,CBD00223.CS,CBD00233.CS,CBD00243.CS,CBD00253.CS,CBD00263.CS,商业银行投资全价
投资人分类指数族,投资人分类指数族,中债-信托计划投资财富指数,CBD00301.CS,CBD00311.CS,CBD00321.CS,CBD00331.CS,CBD00341.CS,CBD00351.CS,CBD00361.CS,信托计划投资财富
投资人分类指数族,投资人分类指数族,中债-信托计划投资净价指数,CBD00302.CS,CBD00312.CS,CBD00322.CS,CBD00332.CS,CBD00342.CS,CBD00352.CS,CBD00362.CS,信托计划投资净价
投资人分类指数族,投资人分类指数族,中债-信托计划投资全价指数,CBD00303.CS,CBD00313.CS,CBD00323.CS,CBD00333.CS,CBD00343.CS,CBD00353.CS,CBD00363.CS,信托计划投资全价
投资人分类指数族,投资人分类指数族,中债-证券公司投资财富指数,CBD00401.CS,CBD00411.CS,CBD00421.CS,CBD00431.CS,CBD00441.CS,CBD00451.CS,CBD00461.CS,证券公司投资财富
投资人分类指数族,投资人分类指数族,中债-证券公司投资净价指数,CBD00402.CS,CBD00412.CS,CBD00422.CS,CBD00432.CS,CBD00442.CS,CBD00452.CS,CBD00462.CS,证券公司投资净价
投资人分类指数族,投资人分类指数族,中债-证券公司投资全价指数,CBD00403.CS,CBD00413.CS,CBD00423.CS,CBD00433.CS,CBD00443.CS,CBD00453.CS,CBD00463.CS,证券公司投资全价
投资人分类指数族,投资人分类指数族,中债-证券基金投资财富指数,CBD00501.CS,CBD00511.CS,CBD00521.CS,CBD00531.CS,CBD00541.CS,CBD00551.CS,CBD00561.CS,证券基金投资财富
投资人分类指数族,投资人分类指数族,中债-证券基金投资净价指数,CBD00502.CS,CBD00512.CS,CBD00522.CS,CBD00532.CS,CBD00542.CS,CBD00552.CS,CBD00562.CS,证券基金投资净价
投资人分类指数族,投资人分类指数族,中债-证券基金投资全价指数,CBD00503.CS,CBD00513.CS,CBD00523.CS,CBD00533.CS,CBD00543.CS,CBD00553.CS,CBD00563.CS,证券基金投资全价
