,ind_code,indicator,ret_ew,ret_mvfloat,ret_top_30pct,ret_mid_40pct,ret_bottom_30pct,num_sp
0,37.0,S_FA_ROE_q_ave,0.14467819333255366,0.16174188823463673,0.07123592972902598,0.21260123514511056,0.1757499202417384,37.0
1,37.0,S_FA_ROE_diff,0.1397067739014732,0.16075674365599882,0.11941769237377947,0.1217774341146204,0.1490059362683328,35.0
2,37.0,S_QFA_CGRGR_diff,0.2247951198551547,0.21197060029168607,0.1860354833659097,0.2604671041341397,0.24175246081919938,23.0
3,37.0,S_QFA_CGRPROFIT_diff,0.14541944714233584,0.1231292020306603,0.2675852145722261,0.13125950649837265,0.09511589584767514,24.0
4,37.0,S_FA_ROIC_q_ave,0.14467819333255366,0.16174188823463673,-0.006702154647814126,0.21219015932478857,0.20872372517040155,37.0
5,37.0,S_FA_ROA_q_ave,0.14467819333255366,0.16174188823463673,0.02810017709622479,0.2488806050467655,0.19399966174023126,37.0
6,37.0,S_FA_ROIC_diff,0.14467819333255366,0.16174188823463673,0.13276358071922184,0.15204105904205273,0.14971899097665553,37.0
7,37.0,S_FA_ROA_diff,0.14467819333255366,0.16174188823463673,0.13796903963259485,0.14948723425136354,0.1475166814363823,37.0
8,,,0.25687549653743236,0.24517477095042733,0.385739833926711,0.13183152671759962,0.17955689410386524,8.0
9,23.0,S_FA_ROE_q_ave,0.037961026129313256,0.051730928654204186,0.053279463103494115,0.06414143661064109,0.031202892170115827,49.0
10,23.0,S_FA_ROE_diff,0.044029791145684116,0.056381301457204006,0.026832113742359186,0.0886461887522003,0.051846917238104556,48.0
11,23.0,S_QFA_CGRGR_diff,0.037161019885852804,0.04685020403920763,0.011434740707444149,-0.054270565396174225,0.04818656810517081,40.0
12,23.0,S_QFA_CGRPROFIT_diff,0.014894654407703527,0.03998717545899082,0.0038024515295861003,0.027004678149704968,0.02001413265914234,38.0
13,23.0,S_FA_ROIC_q_ave,0.037961026129313256,0.051730928654204186,0.009004384032007288,0.0779911349103869,0.05073601528988941,49.0
14,23.0,S_FA_ROA_q_ave,0.037961026129313256,0.051730928654204186,0.0194032345751893,0.04143512561837243,0.04614828710907382,49.0
15,23.0,S_FA_ROIC_diff,0.037961026129313256,0.051730928654204186,-0.0052268641014462675,0.0923013669845757,0.05701450711347188,49.0
16,23.0,S_FA_ROA_diff,0.037961026129313256,0.051730928654204186,0.016002858828017878,0.07859729842820672,0.047648452879884756,49.0
17,,,0.02236976609830226,0.023582593005027557,0.020844534660156417,0.02623243987302497,0.02302343671465048,30.0
18,25.0,S_FA_ROE_q_ave,-0.03578607974443824,-0.026117797546963094,-0.003237999147264041,-0.06153889905842594,-0.0495564215355504,37.0
19,25.0,S_FA_ROE_diff,-0.039880912708915535,-0.029095980581333,-0.03620674847617233,0.004888059747372624,-0.04149754497132255,36.0
20,25.0,S_QFA_CGRGR_diff,-0.043048364401245806,-0.019725072835465072,-0.04216914060307009,0.00039589869927814103,-0.04341470765048569,17.0
21,25.0,S_QFA_CGRPROFIT_diff,-0.06441046068419497,-0.05401479413260997,-0.04089812086583975,-0.06387277962437664,-0.07420726894184297,17.0
22,25.0,S_FA_ROIC_q_ave,-0.03578607974443824,-0.026117797546963094,-0.025435812547464673,-0.04610430685609271,-0.04016503894315783,37.0
23,25.0,S_FA_ROA_q_ave,-0.03578607974443824,-0.026117797546963094,0.00416640001931084,-0.07131307064172136,-0.05268905195217824,37.0
24,25.0,S_FA_ROIC_diff,-0.03578607974443824,-0.026117797546963094,-0.03116622911734041,-0.02349657101417004,-0.037740631932825786,37.0
25,25.0,S_FA_ROA_diff,-0.03578607974443824,-0.026117797546963094,-0.05009265601981632,-0.005146282338566577,-0.029733297474085978,37.0
26,,,-0.06707333667500043,-0.05550402993437407,-0.06441672585213638,-0.1702757943237731,-0.06866730316871886,8.0
27,35.0,S_FA_ROE_q_ave,0.20897853280528517,0.19631974237565367,0.25807398834291595,0.2587838740815782,0.18763268257153262,66.0
28,35.0,S_FA_ROE_diff,0.1949618678439074,0.17517344375332208,0.15385669867224303,0.1861004153329527,0.21312461701278237,62.0
29,35.0,S_QFA_CGRGR_diff,0.12507454126785725,0.16514445479714016,0.11428784262443352,0.1270712031449435,0.12979372192435515,46.0
30,35.0,S_QFA_CGRPROFIT_diff,0.13803742478633085,0.1493142257076255,0.07075426808364821,0.19577837052023445,0.16636717497693407,54.0
31,35.0,S_FA_ROIC_q_ave,0.20897853280528517,0.19631974237565367,0.23332835954392586,0.24418456817602271,0.19839165161457176,66.0
32,35.0,S_FA_ROA_q_ave,0.20897853280528517,0.19631974237565367,0.22416583272060162,0.2833175745615839,0.20237535892906064,66.0
33,35.0,S_FA_ROIC_diff,0.20897853280528517,0.19631974237565367,0.14309952178419422,0.20616878323009669,0.23762158107532472,66.0
34,35.0,S_FA_ROA_diff,0.20897853280528517,0.19631974237565367,0.15585354389937472,0.22249118105186133,0.23207635406872454,66.0
35,,,0.07677250649676373,0.11331831630954173,0.07306316585214505,0.13054536386121446,0.07833433413660318,27.0
36,61.0,S_FA_ROE_q_ave,0.11533857973037023,0.17000998711040813,0.19050980046469748,0.10955409096342673,0.08164113595291321,42.0
37,61.0,S_FA_ROE_diff,0.11753979366784408,0.16165756242262366,0.06786341549240943,0.14338424612839226,0.13939740006503534,36.0
38,61.0,S_QFA_CGRGR_diff,0.12843062232379646,0.17879252824927003,0.04349486513015176,0.07036701700087143,0.16483166112107278,30.0
