table,if_needed,type_financial,factor,weight_indicator,name_CN,name,notes,file_prefix,file_sufix
AShareConsensusData,1,收入和利润,成长,,主营业务收入最小值(万元),MAIN_BUS_INC_MIN,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,主营业务收入调高家数（与一个月前相比）,MAIN_BUS_INC_UPGRADE,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,主营业务收入调低家数（与一个月前相比）,MAIN_BUS_INC_DOWNGRADE,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,主营业务收入维持家数（与一个月前相比）,MAIN_BUS_INC_MAINTAIN,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,净利润最大值（万元),NET_PROFIT_MAX,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,净利润最小值（万元),NET_PROFIT_MIN,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,净利润调高家数（与一个月前相比）,NET_PROFIT_UPGRADE,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,净利润调低家数（与一个月前相比）,NET_PROFIT_DOWNGRADE,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,净利润维持家数（与一个月前相比）,NET_PROFIT_MAINTAIN,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,息税前利润最大值(万元),EBIT_MAX,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,息税前利润最小值(万元),EBIT_MIN,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,息税折旧摊销前利润最大值(万元),EBITDA_MAX,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,息税折旧摊销前利润最小值(万元),EBITDA_MIN,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,利润总额平均值(万元),S_EST_AVGEBT,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,利润总额中值(万元),S_EST_MEDIANEBT,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,利润总额标准差(万元),S_EST_STDEBT,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,利润总额最大值(万元),S_EST_MAXEBT,,WDS_EST_DT_,_ALL
AShareConsensusData,1,收入和利润,成长,,利润总额最小值(万元),S_EST_MINEBT,,WDS_EST_DT_,_ALL
AShareConsensusData,1,资产和投资收益,价值,,总资产收益率平均值（%）,S_EST_AVGROA,,WDS_EST_DT_,_ALL
AShareConsensusData,1,资产和投资收益,价值,,总资产收益率中值（%）,S_EST_MEDIANROA,,WDS_EST_DT_,_ALL
AShareConsensusData,1,资产和投资收益,价值,,总资产收益率标准差（%）,S_EST_STDROA,,WDS_EST_DT_,_ALL
AShareConsensusData,1,资产和投资收益,价值,,总资产收益率最大值（%）,S_EST_MAXROA,,WDS_EST_DT_,_ALL
AShareConsensusData,1,资产和投资收益,价值,,总资产收益率最小值（%）,S_EST_MINROA,,WDS_EST_DT_,_ALL
AShareConsensusData,1,资产和投资收益,价值,,净资产收益率平均值（%）,S_EST_AVGROE,,WDS_EST_DT_,_ALL
AShareConsensusData,1,资产和投资收益,价值,,净资产收益率中值（%）,S_EST_MEDIANROE,,WDS_EST_DT_,_ALL
AShareConsensusData,1,资产和投资收益,价值,,净资产收益率标准差（%）,S_EST_STDROE,,WDS_EST_DT_,_ALL
AShareConsensusData,1,资产和投资收益,价值,,净资产收益率最大值（%）,S_EST_MAXROE,,WDS_EST_DT_,_ALL
AShareConsensusData,1,资产和投资收益,价值,,净资产收益率最小值（%）,S_EST_MINROE,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,每股收益预测家数,S_EST_EPSINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,主营业务收入预测家数,S_EST_MAINBUSINCINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,净利润预测家数,S_EST_NETPROFITINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,每股现金流预测家数,S_EST_CPSINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,每股股利预测家数,S_EST_DPSINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,息税前利润预测家数,S_EST_EBITINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,息税折旧摊销前利润预测家数,S_EST_EBITDAINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,总资产收益率预测家数,S_EST_ROAINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,净资产资产收益率预测家数,S_EST_ROEINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,营业利润预测家数,S_EST_OPROFITINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,1,费用管理,质量,,营业成本及附加平均值(万元),S_EST_AVGOC,,WDS_EST_DT_,_ALL
AShareConsensusData,1,费用管理,质量,,营业成本及附加中值(万元),S_EST_MEDIAOC,,WDS_EST_DT_,_ALL
AShareConsensusData,1,费用管理,质量,,营业成本及附加标准差(万元),S_EST_STOC,,WDS_EST_DT_,_ALL
AShareConsensusData,1,费用管理,质量,,营业成本及附加最大值(万元),S_EST_MAXOC,,WDS_EST_DT_,_ALL
AShareConsensusData,1,费用管理,质量,,营业成本及附加最小值(万元),S_EST_MINOC,,WDS_EST_DT_,_ALL
AShareConsensusData,1,预测行为统计,行为,,营业成本及附加预测家数,S_EST_OCINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,2,定位信息,,,预测日期,EST_DT,,WDS_EST_DT_,_ALL
AShareConsensusData,2,定位信息,,,预测报告期,EST_REPORT_DT,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股收益平均值(元),EPS_AVG,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股收益中值(元),EPS_MEDIAN,,WDS_EST_DT_,_ALL
AShareConsensusData,2,定位信息,,,综合值周期类型,CONSEN_DATA_CYCLE_TYP,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股收益标准差,EPS_DEV,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股收益最大值,EPS_MAX,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股收益最小值,EPS_MIN,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股现金流平均值,S_EST_AVGCPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股现金流中值,S_EST_MEDIANCPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股现金流标准差,S_EST_STDCPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股现金流最大值,S_EST_MAXCPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股现金流最小值,S_EST_MINCPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股股利平均值,S_EST_AVGDPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股股利中值,S_EST_MEDIANDPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股股利标准差,S_EST_STDDPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股股利最大值,S_EST_MAXDPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股股利最小值,S_EST_MINDPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股净资产平均值,S_EST_AVGBPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股净资产中值,S_EST_MEDIANBPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股净资产标准差,S_EST_STDBPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股净资产最大值,S_EST_MAXBPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股净资产最小值,S_EST_MINBPS,,WDS_EST_DT_,_ALL
AShareConsensusData,0,收入和利润,成长,,营业利润平均值(万元),S_EST_AVGOPERATINGPROFIT,,WDS_EST_DT_,_ALL
AShareConsensusData,0,收入和利润,成长,,营业利润中值(万元),S_EST_MEDIANOPERATINGPROFIT,,WDS_EST_DT_,_ALL
AShareConsensusData,0,收入和利润,成长,,营业利润标准差(万元),S_EST_STDOPERATINGPROFIT,,WDS_EST_DT_,_ALL
AShareConsensusData,0,收入和利润,成长,,营业利润最大值(万元),S_EST_MAXOPERATINGPROFIT,,WDS_EST_DT_,_ALL
AShareConsensusData,0,收入和利润,成长,,营业利润最小值(万元),S_EST_MINOPERATINGPROFIT,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,每股净资产预测家数,S_EST_BPSINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,0,,,,利润总额预测家数,S_EST_EBTINSTNUM,,WDS_EST_DT_,_ALL
AShareConsensusData,2,定位信息,,,预测基准股本综合值,S_EST_BASESHARE,,WDS_EST_DT_,_ALL
AShareConsensusData,2,定位信息,,,预测年度类型,S_EST_YEARTYPE,,WDS_EST_DT_,_ALL
AShareConsensusData,2,定位信息,,,Wind代码,S_INFO_WINDCODE,,WDS_EST_DT_,_ALL
AShareConsensusData,2,定位信息,,,Wind代码,WIND_CODE,,WDS_EST_DT_,_ALL
